region,year,month,pixels,surface,duration,max_int,mean_int,cum_int,I Moderate,II Strong,III Severe,IV Extreme
Adriatic Sea,1982,Jan,627,0.07498206170772542,3937,0.5402970149253732,0.4539998852162947,3766.2129999999997,3937,0,0,0
Adriatic Sea,1982,Feb,1191,0.14243004066012915,4273,0.7200858208955224,0.5805097185448204,3598.2945,4259,0,0,0
Adriatic Sea,1982,Mar,1598,0.19110260703181056,10517,0.5730641791044776,0.4369570702560041,9268.9565,10507,0,0,0
Adriatic Sea,1982,Apr,548,0.06553456110978234,3096,0.41983432835820894,0.3603301277912846,3458.9254,3096,0,0,0
Adriatic Sea,1982,May,1,1.1958861516383641e-4,1,0.016334328358208954,0.016334328358208954,2.1888,1,0,0,0
Adriatic Sea,1982,Jun,420,0.05022721836881129,2159,1.0121380597014926,0.8717644692979777,5448.1588,2159,0,0,0
Adriatic Sea,1982,Jul,1351,0.16156421908634297,6947,1.0594141791044775,0.9154276935486322,14098.038,6947,0,0,0
Adriatic Sea,1982,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1982,Sep,7719,0.9231045204496532,76203,2.68570223880597,1.9658026408033278,154011.8702,75612,54,0,0
Adriatic Sea,1982,Oct,8094,0.9679502511360919,72095,2.839018656716418,2.0177525512764487,150853.0895,69517,2208,0,0
Adriatic Sea,1982,Nov,4480,0.5357569959339871,33576,2.141241044776119,1.3871401899227926,51559.5575,33150,354,0,0
Adriatic Sea,1982,Dec,4667,0.5581200669696245,40368,1.7551708955223881,1.1566436620638214,54454.0716,40045,158,0,0
Adriatic Sea,1983,Jan,3007,0.35960296579765605,25260,1.593415671641791,1.0453442281783552,31417.595,24794,205,0,0
Adriatic Sea,1983,Feb,953,0.1139679502511361,3697,0.9698074626865671,0.7286320706044912,4169.584,3676,5,0,0
Adriatic Sea,1983,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,Jun,65,0.007773259985649366,325,0.33112014925373134,0.28709807125088843,903.067,325,0,0,0
Adriatic Sea,1983,Jul,610,0.0729490552499402,2394,0.9367589552238806,0.8319190913298757,5595.2334,2394,0,0,0
Adriatic Sea,1983,Aug,585,0.0699593398708443,1289,0.7896664179104478,0.6808666291888897,2603.8399,1289,0,0,0
Adriatic Sea,1983,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,Oct,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1983,Dec,1,1.1958861516383641e-4,5,0.012811194029850745,0.011370447761194028,7.6182,5,0,0,0
Adriatic Sea,1984,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Feb,16,0.0019134178426213823,95,0.03641492537313433,0.03084964052841851,78.8172,95,0,0,0
Adriatic Sea,1984,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Oct,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1984,Nov,40,0.004783544606553457,77,0.159355223880597,0.1481332089552239,99.1215,77,0,0,0
Adriatic Sea,1984,Dec,2346,0.2805548911743602,19947,1.9990231343283582,1.3703570463514605,29122.2179,19674,216,0,0
Adriatic Sea,1985,Jan,136,0.016264051662281752,531,0.3389358208955224,0.3085703317569398,757.1872,531,0,0,0
Adriatic Sea,1985,Feb,56,0.006696962449174839,323,0.12018805970149254,0.1047369201388112,290.1442,323,0,0,0
Adriatic Sea,1985,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,May,1,1.1958861516383641e-4,6,0.016036567164179102,0.014365298507462687,11.5497,6,0,0,0
Adriatic Sea,1985,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,Sep,201,0.024037311647931117,996,0.4674074626865672,0.398175266470416,1766.891,988,0,0,0
Adriatic Sea,1985,Oct,3599,0.4303994259746472,38105,1.8676492537313434,1.3985500279216185,69941.2587,38035,9,0,0
Adriatic Sea,1985,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1985,Dec,70,0.008371203061468548,435,0.22901194029850747,0.19269521654661037,525.6954,435,0,0,0
Adriatic Sea,1986,Jan,40,0.004783544606553456,242,0.14968955223880598,0.13816294299180787,376.5918,242,0,0,0
Adriatic Sea,1986,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1986,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1986,Apr,4,4.7835446065534564e-4,20,0.02390223880597015,0.01938850746268657,25.9806,20,0,0,0
Adriatic Sea,1986,May,6574,0.7861755560870605,57305,3.915760447761194,2.8427136746688286,161787.4042,57040,232,0,0
Adriatic Sea,1986,Jun,76,0.009088734752451567,78,0.24827985074626865,0.240820761348933,160.0836,78,0,0,0
Adriatic Sea,1986,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1986,Aug,5,5.97943075819182e-4,27,0.0310410447761194,0.02697245024875622,48.014,27,0,0,0
Adriatic Sea,1986,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1986,Oct,701,0.08383161922984932,4343,0.5042037313432836,0.432437751166843,5938.5413,4343,0,0,0
Adriatic Sea,1986,Nov,42,0.005022721836881129,192,0.19619179104477613,0.16852122548569523,259.3792,190,2,0,0
Adriatic Sea,1986,Dec,586,0.07007892848600814,3841,0.8057440298507462,0.6167015583109924,5105.9257,3807,22,0,0
Adriatic Sea,1987,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Jul,1413,0.16897871322650085,7143,1.04575,0.8556862096611272,14227.3398,7143,0,0,0
Adriatic Sea,1987,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1987,Sep,8362,1,113980,3.405615671641791,2.359880601991874,276490.54959999997,99286,14658,0,0
Adriatic Sea,1987,Oct,4184,0.5003587658454915,21021,1.9821208955223881,1.5715719942076345,35059.0905,20844,0,0,0
Adriatic Sea,1987,Nov,1359,0.16252092800765366,7812,1.6046664179104477,1.1808058369041772,11250.0433,7737,55,0,0
Adriatic Sea,1987,Dec,774,0.09256158813680938,3708,1.0845231343283581,0.8160079687642313,5579.6516,3692,6,0,0
Adriatic Sea,1988,Jan,3410,0.4077971777086821,33330,1.5119358208955225,0.9898620203033176,41893.5465,32708,67,0,0
Adriatic Sea,1988,Feb,4434,0.5302559196364506,56870,1.5222082089552238,0.9755490373104954,66920.3325,55542,318,0,0
Adriatic Sea,1988,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,Jul,488,0.058359244199952164,3232,0.6066425373134329,0.5145259594410913,6470.2118,3232,0,0,0
Adriatic Sea,1988,Aug,142,0.01698158335326477,749,0.6305664179104478,0.5683636998020051,1409.1846,749,0,0,0
Adriatic Sea,1988,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,Oct,11,0.0013154747668022004,60,0.0965186567164179,0.08697590722856306,98.22749999999999,60,0,0,0
Adriatic Sea,1988,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1988,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Feb,7,8.371203061468548e-4,16,0.027211194029850748,0.024513980099502487,13.238399999999999,16,0,0,0
Adriatic Sea,1989,Mar,2136,0.2554412819899546,7055,1.1781723880597015,0.8870385174311399,8562.6136,7055,0,0,0
Adriatic Sea,1989,Apr,2143,0.25627840229610144,7770,1.155818656716418,0.8767962936074227,10956.7953,7770,0,0,0
Adriatic Sea,1989,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Oct,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1989,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1990,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1990,Feb,64,0.00765367137048553,294,0.2852537313432836,0.24354079156832734,365.5937,294,0,0,0
Adriatic Sea,1990,Mar,377,0.04508490791676632,2272,0.7593925373134328,0.6050283042080145,3396.1639,2272,0,0,0
Adriatic Sea,1990,Apr,36,0.00430519014589811,180,0.08076716417910448,0.07243337935323382,250.8056,180,0,0,0
Adriatic Sea,1990,May,2123,0.2538866299928247,15026,2.408580597014925,1.9892779299865662,40090.664,14989,2,0,0
Adriatic Sea,1990,Jun,7,8.371203061468548e-4,16,0.09034925373134328,0.0837910447761194,46.0333,16,0,0,0
Adriatic Sea,1990,Jul,7,8.371203061468548e-4,29,0.10142985074626866,0.09018340588723052,89.40090000000001,29,0,0,0
Adriatic Sea,1990,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1990,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1990,Oct,154,0.018416646735230805,474,0.3573738805970149,0.3055612984554338,632.3823,474,0,0,0
Adriatic Sea,1990,Nov,226,0.02702702702702703,1000,0.69885,0.5789674140526432,1543.4915,998,2,0,0
Adriatic Sea,1990,Dec,2,2.3917723032767282e-4,7,0.02854925373134328,0.026855746268656718,11.7166,7,0,0,0
Adriatic Sea,1991,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Mar,195,0.0233197799569481,1048,0.569844776119403,0.4544311635182294,2131.9111,1040,8,0,0
Adriatic Sea,1991,Apr,6,7.175316909830184e-4,32,0.06937462686567164,0.056417594381035996,80.1354,32,0,0,0
Adriatic Sea,1991,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Aug,89,0.01064338674958144,541,0.4736149253731343,0.4120079028268938,1068.2765,541,0,0,0
Adriatic Sea,1991,Sep,769,0.0919636450609902,4551,1.2755932835820896,1.0782770204612677,8166.4333,4547,0,0,0
Adriatic Sea,1991,Oct,160,0.019134178426213823,419,0.49584328358208957,0.45540137632578864,670.1892,419,0,0,0
Adriatic Sea,1991,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1991,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Jan,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1992,Jul,423,0.0505859842143028,986,0.7067955223880596,0.5837639136742128,1901.2129,850,0,0,0
Adriatic Sea,1992,Aug,8144,0.9739296818942836,120223,3.0802305970149253,2.0808723375944895,252038.6196,119034,196,0,0
Adriatic Sea,1992,Sep,6685,0.7994498923702463,12068,2.2985716417910447,1.836667837519155,22553.0795,12066,0,0,0
Adriatic Sea,1992,Oct,2670,0.3193016024874432,7719,1.2259022388059702,0.9645346992686772,11713.8462,7681,38,0,0
Adriatic Sea,1992,Nov,3555,0.4251375269074384,60089,1.7112664179104478,1.034320368033204,90993.3182,59024,393,0,0
Adriatic Sea,1992,Dec,1834,0.21932552021047597,16585,1.5807522388059703,1.0427862171511804,28706.4409,15013,1083,0,0
Adriatic Sea,1993,Jan,6,7.175316909830184e-4,32,0.0295544776119403,0.02578850746268657,55.3189,32,0,0,0
Adriatic Sea,1993,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1993,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1993,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1993,May,1683,0.20126763932073666,9506,1.9307895522388059,1.6078626311317838,23803.1099,9496,0,0,0
Adriatic Sea,1993,Jun,531,0.06350155465199712,1885,1.668663432835821,1.4553699264577848,5112.7595,1885,0,0,0
Adriatic Sea,1993,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1993,Aug,4,4.7835446065534564e-4,20,0.0552,0.053147462686567164,35.6088,20,0,0,0
Adriatic Sea,1993,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1993,Oct,138,0.016503228892609422,658,0.26361641791044776,0.22931082314732668,1200.6704,658,0,0,0
Adriatic Sea,1993,Nov,113,0.013513513513513514,538,0.4754686567164179,0.4105015684289754,971.532,538,0,0,0
Adriatic Sea,1993,Dec,79,0.009447500597943076,425,0.25027014925373137,0.21232667310085498,763.8585,425,0,0,0
Adriatic Sea,1994,Jan,243,0.029060033484812245,1715,0.5021559701492537,0.3928191871158074,2637.479,1710,0,0,0
Adriatic Sea,1994,Feb,156,0.01865582396555848,754,0.4198044776119403,0.36214034936102707,947.5876,753,0,0,0
Adriatic Sea,1994,Mar,3264,0.39033723989476204,34800,1.6379641791044777,1.1109463521055436,46462.6352,34070,117,0,0
Adriatic Sea,1994,Apr,2194,0.26237742166945704,5426,1.3793649253731344,1.0923917370204972,7970.4057,5415,11,0,0
Adriatic Sea,1994,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1994,Jun,6,7.175316909830184e-4,18,0.07543432835820896,0.07245124378109452,45.232,18,0,0,0
Adriatic Sea,1994,Jul,1916,0.22913178665391054,11023,1.9320776119402985,1.6515221213357505,27910.8161,11023,0,0,0
Adriatic Sea,1994,Aug,7985,0.9549150920832337,105728,2.977039552238806,2.090104874495086,219741.0958,103498,665,0,0
Adriatic Sea,1994,Sep,3146,0.37622578330542933,35368,2.4831156716417913,1.8183028809592339,76407.1314,34509,177,0,0
Adriatic Sea,1994,Oct,1030,0.1231762736187515,5475,1.050589552238806,0.8584062326927397,10291.9194,5475,0,0,0
Adriatic Sea,1994,Nov,78,0.00932791198277924,479,0.4991470149253731,0.4251543675082711,744.9569,479,0,0,0
Adriatic Sea,1994,Dec,183,0.02188471657498206,1413,0.6090835820895523,0.49059037131691885,2618.6874,1410,2,0,0
Adriatic Sea,1995,Jan,17,0.002033006457785219,106,0.10124104477611941,0.09110377015106164,195.5015,106,0,0,0
Adriatic Sea,1995,Feb,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,Jun,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,Jul,2398,0.2867734991628797,15126,2.5247619402985073,2.0243595415237494,30491.4132,15124,0,0,0
Adriatic Sea,1995,Aug,558,0.06673044726142072,3031,0.9521746268656717,0.8331004585965996,5115.889,3031,0,0,0
Adriatic Sea,1995,Sep,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1995,Oct,31,0.0037072470700789287,159,0.1566231343283582,0.1394507787765717,198.9378,159,0,0,0
Adriatic Sea,1995,Nov,1,1.1958861516383641e-4,5,0.012458208955223881,0.011090746268656715,7.4308,5,0,0,0
Adriatic Sea,1995,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Jan,55,0.006577373834011002,344,0.14518731343283584,0.12716690304263129,456.38,344,0,0,0
Adriatic Sea,1996,Feb,1,1.1958861516383641e-4,5,0.009414925373134328,0.008808358208955223,5.9016,5,0,0,0
Adriatic Sea,1996,Mar,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,May,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Jun,6273,0.7501793829227458,41750,3.6980014925373133,2.8821500170350802,132967.138,41615,135,0,0
Adriatic Sea,1996,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Sep,126,0.015068165510643387,630,0.4281097014925373,0.3295584888167388,1639.3946,428,202,0,0
Adriatic Sea,1996,Oct,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1996,Nov,6,7.175316909830184e-4,31,0.05779253731343283,0.046575603799185884,65.6742,31,0,0,0
Adriatic Sea,1996,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1997,Jan,22,0.0026309495336044007,69,0.08444850746268656,0.07949139246947083,62.7239,69,0,0,0
Adriatic Sea,1997,Feb,271,0.03240851470939966,1026,0.5497708955223881,0.46479304272396016,1371.1625999999999,1023,0,0,0
Adriatic Sea,1997,Mar,741,0.08861516383640278,7494,0.818760447761194,0.6199979227746756,12078.3308,7087,0,0,0
Adriatic Sea,1997,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1997,May,6,7.175316909830184e-4,30,0.06594029850746269,0.060507686567164175,61.6516,30,0,0,0
Adriatic Sea,1997,Jun,15,0.0017938292274575461,90,0.13595746268656717,0.11777780887230514,238.5605,90,0,0,0
Adriatic Sea,1997,Jul,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1997,Aug,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1997,Sep,1675,0.20031093039942596,10517,1.25385223880597,1.0030101157428468,19929.4317,10511,3,0,0
Adriatic Sea,1997,Oct,605,0.07235111217412102,4120,0.5137320895522388,0.42050681808815193,7513.5582,4034,0,0,0
Adriatic Sea,1997,Nov,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1997,Dec,58,0.006936139679502512,319,0.2569298507462687,0.23097771079056706,446.8652,319,0,0,0
Adriatic Sea,1998,Jan,1280,0.1530734274097106,8561,0.9934671641791045,0.7454888395563206,9533.3848,8559,0,0,0
Adriatic Sea,1998,Feb,3725,0.4454675914852906,28043,1.2059447761194029,0.8221811034568678,25757.6025,27228,68,0,0
Adriatic Sea,1998,Mar,2645,0.3163118871083473,14907,1.1939544776119404,0.9023612342722653,14112.4496,14462,16,0,0
Adriatic Sea,1998,Apr,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1998,May,3,3.587658454915092e-4,15,0.056379104477611935,0.04347574626865672,43.7112,15,0,0,0
Adriatic Sea,1998,Jun,6668,0.7974168859124612,44368,3.184634328358209,2.4012871250197803,118169.8087,44360,8,0,0
Adriatic Sea,1998,Jul,7359,0.8800526189906721,58685,3.11445223880597,2.2428747581709256,143874.5511,56695,1157,0,0
Adriatic Sea,1998,Aug,7938,0.9492944271705334,121411,3.185491791044776,2.091552070208733,259622.6033,115655,3753,0,0
Adriatic Sea,1998,Sep,15,0.0017938292274575461,77,0.10636417910447761,0.09270088195386703,164.067,77,0,0,0
Adriatic Sea,1998,Oct,79,0.009447500597943076,369,0.31678432835820897,0.2701606740230817,556.2715,369,0,0,0
Adriatic Sea,1998,Nov,466,0.055728294666347766,3015,1.0755380597014925,0.7776630015328164,4967.7807999999995,2883,132,0,0
Adriatic Sea,1998,Dec,0,0,0,0,0,0,0,0,0,0
Adriatic Sea,1999,Jan,1167,0.1395599138961971,7544,0.690479104477612,0.49937877778197304,6894.3013,7534,10,0,0
Adriatic Sea,1999,Feb,210,0.025113609184405646,1223,0.20600223880597016,0.17326359408348962,1007.9965,1217,0,0,0
