region,year,month,pixels,surface,duration,max_int,mean_int,cum_int,I Moderate,II Strong,III Severe,IV Extreme
Adriatic Sea,1982,janv,120,0.019540791402051783,605,1.5019809523809524,1.1420746238706827,674.5018,604,1,0,0
Adriatic Sea,1982,févr,552,0.0898876404494382,4790,1.7035571428571428,1.146580969659223,5653.8425,4553,188,0,0
Adriatic Sea,1982,mars,224,0.03647614395049666,1279,1.32134375,1.0250623415547335,1369.815,1279,0,0,0
Adriatic Sea,1982,sept,3177,0.517342452369321,19096,2.470042857142857,1.8414068963153465,36244.3158,18909,2,0,0
Adriatic Sea,1986,mai,4496,0.7321283178635402,35579,4.210667857142857,2.9941738280548513,104259.6487,35472,101,0,0
Adriatic Sea,1986,juin,82,0.013352874124735386,82,2.11149375,2.0712330853174605,170.4632,82,0,0,0
Adriatic Sea,1987,sept,6103,0.9938120827226836,72504,3.5977446428571427,2.4396895563734153,181132.8643,58870,13152,0,0
Adriatic Sea,1987,oct,4588,0.7471095912717799,34030,2.378024107142857,1.6866424190761813,57795.3334,33295,83,0,0
Adriatic Sea,1990,mars,44,0.0071649568474189875,248,1.4313,1.1826614395247155,293.9032,248,0,0,0
Adriatic Sea,1992,août,5863,0.95473049991858006,93058,3.3328571428571427,2.1729805440963004,204075.0387,90735,1314,0,0
Adriatic Sea,1992,sept,4196,0.6832763393584107,10120,2.5438953271028035,1.9955137257412507,20584.0945,10116,0,0,0
Adriatic Sea,1994,août,5587,0.909786679693861,69909,3.4422232142857143,2.233063672193353,152987.328,67295,809,0,0
Adriatic Sea,1994,sept,2978,0.4849373066275851,37647,3.340191262135922,2.0946339094623947,82265.9283,36422,893,0,0
Adriatic Sea,1994,oct,2223,0.3619931607230093,12364,2.5340145631067963,1.9565119165267346,25031.204700000002,12261,78,0,0
Adriatic Sea,1998,août,5375,0.8752646148835694,91721,3.2712603603603605,2.1273303660291902,194140.807,87998,1712,0,0
Adriatic Sea,1999,janv,388,0.06318189219996743,2359,1.4863509803921569,1.0871815160380054,2650.4416,2273,78,0,0
Adriatic Sea,1999,sept,4955,0.8068718449763882,19798,2.313508035714286,1.823794812979952,36824.6227,19690,0,0,0
Adriatic Sea,1999,oct,4946,0.8054062856212343,40706,2.5441241071428573,1.8476355787913794,76892.3699,40207,0,0,0
Adriatic Sea,2000,avril,472,0.07686044618140368,2139,3.0083805555555556,2.150390449891627,4497.6952,1955,169,0,0
Adriatic Sea,2000,mai,6046,0.984530206806709,94755,3.9967339285714285,2.656567648620671,249057.8647,92185,72,0,0
Adriatic Sea,2000,juin,4409,0.7179612440970526,32169,3.7897238532110094,2.8802545121288756,93302.7437,31619,0,0,0
Adriatic Sea,2000,nov,4922,0.8014981273408239,69471,2.619269523809524,1.6112950563570525,115056.5493,65898,1262,0,0
Adriatic Sea,2000,déc,5998,0.9767138902458883,119731,3.0975375,1.837451770305652,220420.8724,109799,7713,69,0
Adriatic Sea,2001,févr,5684,0.9255821527438528,82471,2.1998375,1.3812742295283305,115122.8475,73093,7228,0,0
Adriatic Sea,2001,mars,5894,0.9597785376974434,112270,2.9403625,1.4477191195517576,153991.7172,105031,3804,52,0
Adriatic Sea,2001,avril,4012,0.6533137925419312,26010,2.5257169642857145,1.524096294706571,38654.8765,25327,339,0,0
Adriatic Sea,2001,oct,3708,0.6038104543234001,46363,2.393825,1.6562527625617816,78325.2331,44967,391,0,0
Adriatic Sea,2002,févr,2770,0.45106660153069533,41929,1.9724328358208956,1.145097264137297,47663.2536,37666,2717,7,0
Adriatic Sea,2002,mars,3664,0.5966454974759811,49858,2.484118556701031,1.371995115244686,60895.825600000004,42491,4731,74,0
Adriatic Sea,2002,déc,3798,0.618466047874939,17978,2.106711607142857,1.5013405105500603,26622.148400000002,17864,70,0,0
Adriatic Sea,2003,janv,4774,0.7773978179449601,83923,2.0214455357142858,1.3084118657330754,104916.6656,77740,2862,0,0
Adriatic Sea,2003,mai,4851,0.7899364924279433,42869,4.493778571428572,2.9483535175827735,127670.1768,36107,6719,0,0
Adriatic Sea,2003,juin,6139,0.9996743201432992,147061,6.046101785714286,3.8237426291630934,558580.4425,128947,17008,65,0
Adriatic Sea,2003,juil,5975,0.9729685718938283,62931,4.145080357142857,2.518816161119739,162928.4619,61158,925,0,0
Adriatic Sea,2003,août,6138,0.9995114802149487,126602,3.8077285714285716,2.5643462505943067,327356.6771,114654,11240,22,0
Adriatic Sea,2003,sept,4878,0.794333170493405,13726,2.8759582524271843,2.1430825748747626,30502.5841,13294,430,0,0
Adriatic Sea,2004,févr,931,0.15160397329425174,8918,1.7254764705882353,1.12079801743749,9756.756300000001,8272,466,0,0
Adriatic Sea,2004,oct,3044,0.4956847418987136,15883,1.93035,1.4956427276547555,25312.1831,15664,29,0,0
Adriatic Sea,2004,nov,5463,0.8895945285784075,61330,2.64765625,1.708118070649217,106157.2326,58966,1412,0,0
Adriatic Sea,2004,déc,4354,0.7090050480377789,57213,2.303745,1.5266394975686712,88260.1239,55261,211,0,0
Adriatic Sea,2005,janv,4760,0.7751180589480541,67784,1.940861,1.245000156196285,84586.0156,65161,940,0,0
Adriatic Sea,2005,mars,756,0.12310698583292623,3826,1.7143171875,1.3148181669953316,4481.3539,3823,0,0,0
Adriatic Sea,2005,avril,472,0.07686044618140368,2649,1.47750350877193,1.2116102884699897,3105.8073,2643,0,0,0
Adriatic Sea,2005,juil,3694,0.6015306953264941,13289,3.35305,2.3290963808971257,30535.8878,12776,502,11,0
Adriatic Sea,2005,août,3679,0.5990880964012376,11389,3.1912580357142857,2.1624711142416824,25285.7723,10577,812,0,0
Adriatic Sea,2006,juin,2602,0.42370949356782284,13842,4.077122222222222,3.098585057549042,43167.1865,13771,64,0,0
Adriatic Sea,2006,juil,3327,0.5417684416218856,13631,3.207288392857143,2.394672742569441,31918.1516,13574,46,0,0
Adriatic Sea,2007,avril,6141,1,142297,4.630352678571429,2.6227496717519245,368258.9467,80568,60081,1372,0
Adriatic Sea,2007,mai,6141,1,101477,5.1840375,3.035304075648159,308256.5378,80900,17670,316,0
Adriatic Sea,2007,juin,5383,0.8765673343103729,65390,4.501674107142857,3.079916840650166,202310.0858,64193,222,0,0
Adriatic Sea,2007,juil,5080,0.8272268360201922,47766,3.9782723214285713,2.5428525835865226,122005.8967,43980,3694,0,0
Adriatic Sea,2008,juin,5954,0.9695489333984693,39088,4.783982142857143,3.2886655229045902,133116.3755,36477,2576,0,0
Adriatic Sea,2008,juil,5892,0.9594528578407425,73165,3.9384935185185186,2.8354485928493975,212999.0649,72463,151,0,0
Adriatic Sea,2008,sept,2647,0.4310372903435922,18339,2.5869044642857144,1.9647169539436091,36618.458,18336,0,0,0
Adriatic Sea,2009,mai,6094,0.9923465233675297,70444,6.119229464285715,3.5746954976016765,252087.49,54698,15381,17,0
Adriatic Sea,2009,août,5267,0.8576779026217228,45898,3.1458035714285715,2.2236780103323537,101851.2564,43977,473,0,0
Adriatic Sea,2009,sept,4587,0.7469467513434294,30993,3.069032142857143,2.218017015173808,70091.8013,30359,527,0,0
Adriatic Sea,2010,juil,5644,0.9190685556098356,60013,4.299408035714285,2.8409295233835,170622.8891,51134,7841,263,0
Adriatic Sea,2011,avril,3757,0.6117896108125712,33178,3.8890339285714286,1.9920704021856646,66953.7842,28045,4469,180,0
Adriatic Sea,2011,juil,5504,0.8962709656407751,46858,3.6826366071428573,2.490272296691843,116829.2292,46684,157,0,0
Adriatic Sea,2011,août,6137,0.9993486402865983,52338,3.4994330357142855,2.304237263190888,123252.3109,46346,4309,3,0
Adriatic Sea,2011,sept,6141,1,178542,4.158980357142857,2.684972663119068,485538.7418,131742,45277,4,0
Adriatic Sea,2011,oct,5935,0.9664549747598111,51384,3.110946428571429,2.3134103122371386,118855.758,48973,2348,0,0
Adriatic Sea,2011,déc,4363,0.7104706073929328,85737,2.352226168224299,1.5235604991459928,134512.8898,81186,1914,2,0
Adriatic Sea,2012,janv,4101,0.6678065461651197,60813,1.9042252427184465,1.2479444987617294,76392.0636,57939,661,0,0
Adriatic Sea,2012,févr,1299,0.21152906692721055,4421,1.3615040816326531,1.056101373411633,4685.8293,4236,107,0,0
Adriatic Sea,2012,mars,4271,0.695489333984693,46881,2.531799107142857,1.5818270019466365,65802.8214,44855,1299,0,0
Adriatic Sea,2012,avril,3859,0.6283992835043153,13382,2.567861224489796,1.7328499744560646,21208.1374,13271,89,0,0
Adriatic Sea,2012,mai,4174,0.6796938609347012,39405,3.830606603773585,2.4577615671749404,90608.7376,37489,1034,0,0
Adriatic Sea,2012,juin,6007,0.9781794496010422,47403,4.395185714285715,2.9999153707722175,144313.4082,45519,334,0,0
Adriatic Sea,2012,juil,6141,1,101649,4.853655357142857,3.431153233565881,354599.2968,77653,23771,4,0
Adriatic Sea,2012,août,5429,0.8840579710144928,47049,3.194420535714286,2.186763059386422,100786.5896,46591,343,0,0
Adriatic Sea,2012,sept,1515,0.24670249145090375,11909,2.1455973333333334,1.7848868766149102,21662.025700000002,11840,0,0,0
Adriatic Sea,2012,oct,5784,0.9418661455788959,116537,2.5187758928571427,1.7370166582889697,204143.2145,110384,2245,0,0
Adriatic Sea,2012,nov,5981,0.973945611463931,121913,2.7138053571428573,1.6853605128295321,208121.6163,116649,2187,5,0
Adriatic Sea,2012,déc,5358,0.8724963361016121,53121,2.326845535714286,1.580649864535249,85217.0467,52067,194,0,0
Adriatic Sea,2013,janv,4842,0.7884709330727895,74300,2.06639375,1.3137331844891738,100617.2202,71942,487,0,0
Adriatic Sea,2013,avril,6141,1,92707,4.21718125,2.1759889573938627,194812.1324,78295,10682,236,0
Adriatic Sea,2013,mai,6141,1,77869,4.552991964285714,3.050424079579212,233440.9454,64340,12632,56,0
Adriatic Sea,2013,août,3813,0.6209086468001954,26423,3.4511267857142855,2.3229360481674903,61551.5849,22928,3162,0,0
Adriatic Sea,2013,nov,6097,0.992835043152581,126629,2.822048214285714,1.7401229288205542,226439.56040000002,115272,8060,439,0
Adriatic Sea,2013,déc,5014,0.8164794007490637,63301,2.2392320388349516,1.491070042189322,98882.0133,58556,2024,4,0
Adriatic Sea,2014,janv,6141,1,161521,3.0080714285714287,1.8265905142319676,291406.1551,86667,68134,3219,16
Adriatic Sea,2014,févr,6124,0.9972317212180427,147398,2.9920035714285715,1.7594878512127117,251188.5705,84071,58128,1336,14
Adriatic Sea,2014,mars,6121,0.9967432014329913,175187,3.5774875,1.9072912902769856,323893.7482,106695,64758,932,0
Adriatic Sea,2014,avril,6033,0.9824132877381534,107227,3.3359196428571427,2.004190050315847,215576.9484,83515,21329,0,0
Adriatic Sea,2014,oct,5455,0.888291809151604,58981,2.8750214285714284,1.9241556595188472,114730.8771,54296,4581,0,0
Adriatic Sea,2014,nov,3443,0.5606578733105357,32649,2.436692857142857,1.6001383932163882,51232.0312,31854,200,0,0
Adriatic Sea,2014,déc,6123,0.9970688812896923,154650,3.143567857142857,1.9340533865935146,298128.08150000003,134719,17385,1,0
Adriatic Sea,2015,janv,5909,0.9622211366226999,118669,2.262599107142857,1.3585654228013349,161010.2469,113194,1714,0,0
Adriatic Sea,2015,févr,5058,0.8236443575964827,92709,2.0621144144144146,1.2907008459386653,114161.1781,75576,12780,462,0
Adriatic Sea,2015,juin,5710,0.929815990880964,53082,4.738263392857143,3.2627140157068637,175007.3823,50963,2075,0,0
Adriatic Sea,2015,juil,6141,1,108534,5.0124651785714285,3.312876462290195,358546.8081,52819,53991,1511,0
Adriatic Sea,2015,août,5860,0.9542419801335288,120937,3.7937294642857142,2.427933934075642,307738.5418,91375,27934,1,0
Adriatic Sea,2015,sept,5474,0.8913857677902621,73649,3.4388375,2.240494918358142,169003.8584,66693,6232,0,0
Adriatic Sea,2015,nov,4419,0.7195896433805569,52727,2.452372815533981,1.592376912358514,90732.1199,48752,2933,130,0
Adriatic Sea,2015,déc,4598,0.7487379905552841,64051,2.4414073394495412,1.580392480279948,106520.0434,59053,2861,157,0
Adriatic Sea,2016,janv,5935,0.9664549747598111,134457,2.3369633928571427,1.4485034173988642,191968.9311,116625,13731,219,0
Adriatic Sea,2016,févr,5831,0.9495196222113662,136868,2.206585714285714,1.383708495620543,182451.2924,119426,12413,21,0
Adriatic Sea,2016,mars,5722,0.9317700700211692,134379,2.2887633928571427,1.4512876299592248,187772.8843,121724,8931,0,0
Adriatic Sea,2016,avril,6141,1,114824,3.2883,1.928206588932172,210929.9712,93825,17003,54,0
Adriatic Sea,2016,juil,5486,0.8933398469304673,41897,3.9320866071428573,2.772086157994202,118322.4596,38861,2944,0,0
Adriatic Sea,2016,nov,2978,0.4849373066275851,21830,2.202368,1.5485984517063265,34319.4422,21235,196,3,0
Adriatic Sea,2016,déc,4576,0.7451555121315747,68054,2.4099203883495144,1.501872189157144,105693.8979,64497,1675,16,0
Adriatic Sea,2017,janv,3302,0.5376974434131249,15862,1.9347650485436894,1.3029374213069636,20548.3421,15767,11,0,0
Adriatic Sea,2017,févr,2527,0.41149649894154045,29878,1.759451515151515,1.0451659902749917,30738.4465,26560,1682,0,0
Adriatic Sea,2017,mars,5910,0.9623839765510503,109702,3.07279375,1.656677369872435,159141.9324,90212,15702,181,0
Adriatic Sea,2017,avril,6141,1,112051,4.308829464285714,2.2936943560784964,240850.8165,68859,40796,926,0
Adriatic Sea,2017,juin,4998,0.8138739618954568,60569,4.109548214285715,2.8965599804987847,179555.2801,60052,107,0,0
Adriatic Sea,2017,août,6141,1,65159,4.499501785714286,2.807992549078839,182121.1762,42185,22648,264,0
Adriatic Sea,2018,avril,6141,1,92329,5.5758125,3.16233059824072,282005.1497,38198,42214,10973,16
Adriatic Sea,2018,mai,6141,1,176041,5.600840178571429,3.2854739666635604,582075.2203,134001,36071,2330,0
Adriatic Sea,2018,juin,6141,1,102984,5.637435714285714,3.870164604734691,398831.8586,75269,26751,0,0
Adriatic Sea,2018,août,6134,0.9988601205015469,150459,4.020866964285714,2.5657984837375785,384934.7617,121201,27273,9,0
Adriatic Sea,2018,sept,6141,1,108228,3.7238482142857143,2.413648384072392,261551.8493,95183,12066,0,0
Adriatic Sea,2018,oct,2370,0.3859306301905227,21331,2.1195,1.6074864464561678,34537.4409,21139,0,0,0
Adriatic Sea,2018,nov,5650,0.9200455951799381,97154,2.6934339285714284,1.685048886628147,167823.8754,91568,2851,53,0
Adriatic Sea,2018,déc,5175,0.8426966292134831,94172,2.671448979591837,1.5851844746771986,152357.8173,89032,1928,0,0
Adriatic Sea,2019,févr,3068,0.4995929001791239,51777,1.6538068181818182,1.0665305259751352,53687.5913,47065,2447,0,0
Adriatic Sea,2019,mars,3152,0.5132714541605602,59372,1.9976316831683167,1.3472949776997942,68685.5362,55092,2816,0,0
Adriatic Sea,2019,juin,5004,0.8148510014655593,52580,5.105935714285715,3.2622536872742924,172152.317,49551,2340,10,0
Adriatic Sea,2019,juil,5100,0.8304836345872008,52970,4.341548214285714,2.8694849212617246,153061.7112,50109,2736,0,0
Adriatic Sea,2019,août,6098,0.9929978830809314,72821,3.564257142857143,2.1947502318620375,160489.2874,70031,1692,0,0
Adriatic Sea,2019,sept,5944,0.967920534114965,42950,3.319317857142857,2.242595790563822,93153.2327,41636,833,0,0
Adriatic Sea,2019,oct,6063,0.9872984855886664,82455,2.84469009009009,1.906326660953617,163551.0158,68800,12236,0,0
Adriatic Sea,2019,nov,6101,0.9934864028659828,130710,2.9268964285714287,1.8349656105951881,241273.4115,117001,10990,0,0
Adriatic Sea,2019,déc,5763,0.9384465070835368,145941,3.049716216216216,1.795290063774338,259242.3448,133323,8088,2,0
Adriatic Sea,2020,févr,5903,0.9612440970525973,150047,2.5157107142857145,1.5529688115696918,228806.2521,113174,33100,65,0
Adriatic Sea,2020,juin,1971,0.32095749877870056,5300,3.2281357798165136,2.6491000779956786,14741.0735,5300,0,0,0
Adriatic Sea,2020,juil,3140,0.511317375020355,11661,3.9943785714285713,2.7310735254408094,32498.5603,11341,316,1,0
Adriatic Sea,2020,août,4789,0.7798404168702165,46694,3.2074124999999998,2.1407959059550836,95861.1852,45250,384,0,0
