Ecoregion,Area Monitored,year,NMME,NEVENTS,mme_prop,damage_mean,duration_sum
Northwestern Mediterranean,Cabrera Is.,2015,2,3,0.6666666666666666,13,76.33333333333333
Northwestern Mediterranean,Cabrera Is.,2016,2,3,0.6666666666666666,14.666666666666666,36.333333333333336
Northwestern Mediterranean,Cabrera Is.,2017,2,3,0.6666666666666666,18.333333333333332,44.333333333333336
Northwestern Mediterranean,Cabrera Is.,2018,2,3,0.6666666666666666,14.666666666666666,59.333333333333336
Northwestern Mediterranean,Cabrera Is.,2019,0,3,0,1.6666666666666667,5.333333333333333
Northwestern Mediterranean,Calanques,2018,3,3,1,41.666666666666664,99.33333333333333
Northwestern Mediterranean,Cap de Creus (North),2017,7,19,0.3684210526315789,12.421052631578947,37.8421052631579
Northwestern Mediterranean,Cap de Creus (North),2018,19,25,0.76,25.24,71.24
Northwestern Mediterranean,Cap de Creus (North),2019,6,17,0.35294117647058826,26.352941176470587,24.88235294117647
Northwestern Mediterranean,Cap de Creus (South),2017,2,16,0.125,5.0625,41.4375
Northwestern Mediterranean,Cap de Creus (South),2018,11,13,0.8461538461538461,36.07692307692308,61.38461538461539
Northwestern Mediterranean,Cap de Creus (South),2019,3,20,0.15,8.8,30.55
Northwestern Mediterranean,"El Montgrí, Les Illes Medes I El Baix Ter",2016,10,21,0.47619047619047616,12.714285714285714,28.142857142857142
Northwestern Mediterranean,"El Montgrí, Les Illes Medes I El Baix Ter",2017,15,37,0.40540540540540543,15.405405405405405,59.75675675675676
Northwestern Mediterranean,"El Montgrí, Les Illes Medes I El Baix Ter",2018,39,50,0.78,35.14,75.04
Northwestern Mediterranean,"El Montgrí, Les Illes Medes I El Baix Ter",2019,15,33,0.45454545454545453,22.818181818181817,33.60606060606061
Northwestern Mediterranean,Mallorca Is.,2015,5,8,0.625,14.5,68.875
Northwestern Mediterranean,Mallorca Is.,2016,3,8,0.375,8.875,43.875
Northwestern Mediterranean,Mallorca Is.,2017,7,8,0.875,24,55.125
Northwestern Mediterranean,Mallorca Is.,2018,8,9,0.8888888888888888,25.333333333333332,44.333333333333336
Northwestern Mediterranean,Mallorca Is.,2019,4,8,0.5,12,14.375
Northwestern Mediterranean,Port-Cros NP,2018,4,4,1,14.75,83.5
Northwestern Mediterranean,Scandola MPA,2017,1,6,0.16666666666666666,4.833333333333333,24.5
Northwestern Mediterranean,Scandola MPA,2018,7,7,1,31.571428571428573,49
